epoch,loss
0,8.076427459716797
1,10.284517288208008
2,10.446836471557617
3,8.361587524414062
4,8.022236824035645
5,7.844366550445557
6,7.807707786560059
7,7.684085845947266
8,7.690628528594971
9,7.820616722106934
10,7.319716453552246
11,0.7952353358268738
12,0.7023056149482727
13,0.679099440574646
14,0.7739130258560181
15,0.6597973108291626
16,0.6367676854133606
17,0.7737941741943359
18,0.6283918023109436
19,3.977024555206299
20,2.7152016162872314
21,1.9367916584014893
22,1.3301622867584229
23,1.0084753036499023
24,0.6613654494285583
25,0.6353526711463928
26,0.620416522026062
27,0.5924634337425232
28,0.6308014988899231
29,0.6355594992637634
